MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:102701	Lilrb4a	leukocyte immunoglobulin-like receptor, subfamily B, member 4A	10		CD4-positive, alpha-beta T cell proliferation			IMP	MGI:3818260 	J:141234 	
MGI:102701	Lilrb4a	leukocyte immunoglobulin-like receptor, subfamily B, member 4A	10		CD8-positive, alpha-beta T cell proliferation			IMP	MGI:3818260 	J:141234 	
MGI:102701	Lilrb4a	leukocyte immunoglobulin-like receptor, subfamily B, member 4A	10		negative regulation of activated T cell proliferation			ISO	Q8NHJ6 	J:164563 	
MGI:102701	Lilrb4a	leukocyte immunoglobulin-like receptor, subfamily B, member 4A	10		negative regulation of T cell proliferation			ISO	Q8NHJ6 	J:164563 	
MGI:102702	Lilrb4b	leukocyte immunoglobulin-like receptor, subfamily B, member 4B	10		negative regulation of activated T cell proliferation			ISO	Q8NHJ6 	J:164563 	
MGI:102702	Lilrb4b	leukocyte immunoglobulin-like receptor, subfamily B, member 4B	10		negative regulation of T cell proliferation			ISO	Q8NHJ6 	J:164563 	
MGI:1289247	Lmbr1l	limb region 1 like	15		T cell proliferation			IMP		J:274568 	
MGI:102812	Lmo1	LIM domain only 1	7		regulation of T cell homeostatic proliferation			IDA		J:2066 	
MGI:93882	Lrrc32	leucine rich repeat containing 32	7		negative regulation of activated T cell proliferation			IDA		J:139262 	
MGI:1341857	Mad1l1	MAD1 mitotic arrest deficient 1-like 1	5		negative regulation of T cell proliferation			IDA		J:68141 	
MGI:2445027	Malt1	MALT1 paracaspase	18		T cell proliferation			IMP	MGI:2684761 	J:86770 	
MGI:1309464	Mapk8ip1	mitogen-activated protein kinase 8 interacting protein 1	2		regulation of CD8-positive, alpha-beta T cell proliferation			IMP		J:205863 	
MGI:1931053	Marchf7	membrane associated ring-CH-type finger 7	2		negative regulation of T cell proliferation			IMP	MGI:3530008 	J:96167 	
MGI:97167	Msn	moesin	X		T cell proliferation			ISO	P26038 	J:164563 	
MGI:109601	Nck1	non-catalytic region of tyrosine kinase adaptor protein 1	9		positive regulation of T cell proliferation			ISO	P16333 	J:164563 	
MGI:1306821	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2	1		positive regulation of T cell proliferation			ISO	O43639 	J:164563 	
MGI:1926063	Nckap1l	NCK associated protein 1 like	15		positive regulation of T cell proliferation			IMP		J:141377 	
MGI:1926063	Nckap1l	NCK associated protein 1 like	15		positive regulation of T cell proliferation			ISO	P55160 	J:164563 	
MGI:1891700	Ncstn	nicastrin	1		T cell proliferation			IMP	MGI:2667524 	J:125592 	
MGI:1929601	Ndfip1	Nedd4 family interacting protein 1	18		negative regulation of T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:3695433 	J:116617 	
MGI:1339957	P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7	5		T cell proliferation	happens in spleen,affects a population of T cell		IMP	MGI:2386080 	J:118862 	
MGI:2149961	Pawr	PRKC, apoptosis, WT1, regulator	10		negative regulation of T cell proliferation			IMP	MGI:2678021 	J:85495 	
MGI:1930125	Pdcd1lg2	programmed cell death 1 ligand 2	19		negative regulation of activated T cell proliferation			ISO	Q9BQ51 	J:164563 	
MGI:1930125	Pdcd1lg2	programmed cell death 1 ligand 2	19		negative regulation of T cell proliferation			IBA	PTN002402215 	J:265628 	
MGI:1930125	Pdcd1lg2	programmed cell death 1 ligand 2	19		negative regulation of T cell proliferation			IDA		J:67842 J:114496 	
MGI:1930125	Pdcd1lg2	programmed cell death 1 ligand 2	19		positive regulation of T cell proliferation			IBA	PTN002402215 	J:265628 	
MGI:1930125	Pdcd1lg2	programmed cell death 1 ligand 2	19		positive regulation of T cell proliferation			IDA		J:68616 	
MGI:2651499	Pde5a	phosphodiesterase 5A, cGMP-specific	3		negative regulation of T cell proliferation	regulates the proliferation of T cell		IMP		J:124590 	
MGI:1914495	Peli1	pellino 1	11		negative regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:4361448 	J:176455 	
MGI:104642	Pla2g2a	phospholipase A2, group IIA (platelets, synovial fluid)	4	NOT	negative regulation of T cell proliferation			IDA		J:150812 	
MGI:1341796	Pla2g2d	phospholipase A2, group IID	4		negative regulation of T cell proliferation			IBA	PTN000196980 	J:265628 	
MGI:1341796	Pla2g2d	phospholipase A2, group IID	4		negative regulation of T cell proliferation			IDA		J:150812 	
MGI:1349661	Pla2g2f	phospholipase A2, group IIF	4		negative regulation of T cell proliferation			IBA	PTN000196980 	J:265628 	
MGI:1349661	Pla2g2f	phospholipase A2, group IIF	4		negative regulation of T cell proliferation			IDA		J:117280 	
MGI:97365	Pnp	purine-nucleoside phosphorylase	14		positive regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:2386195 	J:114541 	
MGI:97365	Pnp	purine-nucleoside phosphorylase	14		positive regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:3777967 MGI:3777968 MGI:3777975 	J:39328 	
MGI:97365	Pnp	purine-nucleoside phosphorylase	14		positive regulation of T cell proliferation			ISO	P00491 	J:73065 	
MGI:109486	Prdx2	peroxiredoxin 2	8		T cell proliferation	happens in thymus,affects a population of T cell		IMP	MGI:2668456 	J:91748 	
MGI:104878	Prkar1a	protein kinase, cAMP dependent regulatory, type I, alpha	11		negative regulation of activated T cell proliferation			ISO	P10644 	J:164563 	
MGI:97601	Prkcq	protein kinase C, theta	2		positive regulation of T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:2664379 	J:89322 	
MGI:97769	Prnp	prion protein	2		negative regulation of activated T cell proliferation			IMP		J:169942 	
MGI:1096380	Psmb10	proteasome (prosome, macropain) subunit, beta type 10	8		T cell proliferation			IMP	MGI:3723600 	J:91605 	
MGI:96055	Ptpn6	protein tyrosine phosphatase, non-receptor type 6	6		negative regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:1856073 MGI:1856074 	J:35279 	
MGI:107170	Ptpn22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	3		positive regulation of CD8-positive, alpha-beta T cell proliferation			IBA	PTN000440270 	J:265628 	
MGI:107170	Ptpn22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	3		positive regulation of CD8-positive, alpha-beta T cell proliferation	happens at the same time as positive regulation of defense response to virus by host		IMP		J:208241 	
MGI:97810	Ptprc	protein tyrosine phosphatase, receptor type, C	1		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of mature alpha-beta T cell		IMP	MGI:2181288 	J:25537 	
MGI:97810	Ptprc	protein tyrosine phosphatase, receptor type, C	1		positive regulation of T cell proliferation			IMP		J:13163 	
MGI:97810	Ptprc	protein tyrosine phosphatase, receptor type, C	1		T cell proliferation			IMP	MGI:1857277 	J:84808 	
MGI:1931465	Pycard	PYD and CARD domain containing	7		positive regulation of activated T cell proliferation			IMP		J:176441 	
MGI:97846	Rac2	Rac family small GTPase 2	15		regulation of T cell proliferation			IMP		J:119437 	
MGI:2444128	Rasal3	RAS protein activator like 3	17		positive regulation of NK T cell proliferation			ISO	Q86YV0 	J:164563 	
MGI:1314635	Rasgrp1	RAS guanyl releasing protein 1	2		T cell proliferation			ISO	O95267 	J:164563 	
MGI:2685397	Rc3h1	RING CCCH (C3H) domains 1	1		negative regulation of activated T cell proliferation			IMP		J:175161 	
MGI:2685397	Rc3h1	RING CCCH (C3H) domains 1	1		regulation of T cell proliferation			IEA	IPR032671 	J:72247 	
MGI:2685397	Rc3h1	RING CCCH (C3H) domains 1	1		T cell proliferation			IGI	MGI:2442789 	J:196136 	
MGI:2442789	Rc3h2	ring finger and CCCH-type zinc finger domains 2	2		T cell proliferation			IGI	MGI:2685397 	J:196136 	
MGI:1891456	Ripk2	receptor (TNFRSF)-interacting serine-threonine kinase 2	4		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:2446070 	J:75401 	
MGI:1891456	Ripk2	receptor (TNFRSF)-interacting serine-threonine kinase 2	4		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:2660793 	J:75400 	
MGI:1891456	Ripk2	receptor (TNFRSF)-interacting serine-threonine kinase 2	4		positive regulation of immature T cell proliferation	regulates the proliferation of thymocyte		IMP	MGI:2660793 	J:75400 	
MGI:1891456	Ripk2	receptor (TNFRSF)-interacting serine-threonine kinase 2	4		T cell proliferation			IMP	MGI:2446070 	J:87716 	
MGI:2154952	Ripk3	receptor-interacting serine-threonine kinase 3	14		regulation of activated T cell proliferation			IGI	Q61160 	J:176448 	
MGI:2444879	Ripor2	RHO family interacting cell polarization regulator 2	13		negative regulation of T cell proliferation			ISO	Q9Y4F9 	J:164563 	
MGI:1350917	Rps3	ribosomal protein S3	7		positive regulation of activated T cell proliferation			ISO	P23396 	J:164563 	
MGI:98159	Rps6	ribosomal protein S6	4		T cell proliferation involved in immune response			IGI	MGI:98834 	J:103921 	
MGI:98159	Rps6	ribosomal protein S6	4		T cell proliferation involved in immune response			IMP	MGI:2387471 	J:103921 	
MGI:1921381	Sash3	SAM and SH3 domain containing 3	X		positive regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:3716944 	J:102171 	
MGI:105084	Satb1	special AT-rich sequence binding protein 1	17		activated T cell proliferation	affects a population of CL:0000084		IMP	MGI:2386676 	J:98155 	
MGI:98919	Scgb1a1	secretoglobin, family 1A, member 1 (uteroglobin)	19		negative regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:105523 	
MGI:2145950	Scrib	scribbled planar cell polarity	15		negative regulation of activated T cell proliferation			IMP		J:145314 	
MGI:1349164	Sdc4	syndecan 4	2		negative regulation of T cell proliferation			ISO	P31431 	J:164563 	
MGI:1931466	Selenok	selenoprotein K	14		positive regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:4941878 	J:169169 	
MGI:109515	Sftpd	surfactant associated protein D	14		negative regulation of T cell proliferation			ISO	RGD:3667 	J:155856 	
MGI:1913066	Sh3rf1	SH3 domain containing ring finger 1	8		regulation of CD8-positive, alpha-beta T cell proliferation			IMP		J:205863 	
MGI:98297	Shh	sonic hedgehog	5		negative regulation of T cell proliferation	regulates a function/process that happens in thymus primordium,regulates the proliferation of pro-T cell		IMP		J:64180 	
MGI:98297	Shh	sonic hedgehog	5		positive regulation of immature T cell proliferation in thymus			IMP		J:88047 J:148952 	
MGI:1351314	Slamf1	signaling lymphocytic activation molecule family member 1	1		positive regulation of activated T cell proliferation			IDA		J:227465 	
MGI:109393	Slc4a1	solute carrier family 4 (anion exchanger), member 1	11		positive regulation of T cell proliferation			ISO	RGD:3710 	J:155856 	
MGI:88117	Slc7a1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	5		positive regulation of T cell proliferation			ISO	P30825 	J:164563 	
MGI:1345275	Slc11a1	solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	1		T cell proliferation involved in immune response			IMP	MGI:1857755 	J:39456 	
MGI:1313259	Slfn1	schlafen 1	11		negative regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:138087 	
MGI:98354	Sos1	SOS Ras/Rac guanine nucleotide exchange factor 1	17		regulation of T cell proliferation			IGI	MGI:98355 	J:206090 	
MGI:98355	Sos2	SOS Ras/Rho guanine nucleotide exchange factor 2	12		regulation of T cell proliferation			IGI	MGI:98354 	J:206090 	
MGI:98384	Spn	sialophorin	7		negative regulation of T cell proliferation			IMP	MGI:1857246 	J:29272 J:88252 J:94033 	
MGI:98384	Spn	sialophorin	7		negative regulation of T cell proliferation			IMP		J:149128 	
MGI:98384	Spn	sialophorin	7		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:88251 	
MGI:98384	Spn	sialophorin	7		positive regulation of T cell proliferation			IDA		J:26220 	
MGI:98385	Spta1	spectrin alpha, erythrocytic 1	1		positive regulation of T cell proliferation			IMP	MGI:1856181 	J:4748 	
MGI:103036	Stat5a	signal transducer and activator of transcription 5A	11		positive regulation of activated T cell proliferation	regulates the proliferation of T cell		IDA		J:53400 	
MGI:103036	Stat5a	signal transducer and activator of transcription 5A	11		positive regulation of activated T cell proliferation	regulates the proliferation of T cell		IGI	MGI:103035 	J:53400 J:98326 	
MGI:103035	Stat5b	signal transducer and activator of transcription 5B	11		positive regulation of activated T cell proliferation	regulates the proliferation of T cell		IGI	MGI:103036 	J:53400 J:98326 	
MGI:103035	Stat5b	signal transducer and activator of transcription 5B	11		positive regulation of activated T cell proliferation	regulates the proliferation of T cell		IMP	MGI:2181592 	J:112035 	
MGI:99515	Syk	spleen tyrosine kinase	13		positive regulation of alpha-beta T cell proliferation			IBA	PTN002815343 	J:265628 	
MGI:99515	Syk	spleen tyrosine kinase	13		positive regulation of alpha-beta T cell proliferation			IGI	MGI:99613 	J:42818 	
MGI:2442280	Tarm1	T cell-interacting, activating receptor on myeloid cells 1	7		negative regulation of CD4-positive, alpha-beta T cell proliferation			IDA		J:243472 	
MGI:98822	Tfrc	transferrin receptor	16		positive regulation of T cell proliferation			IDA		J:231935 	
MGI:98822	Tfrc	transferrin receptor	16		positive regulation of T cell proliferation			ISO	P02786 	J:164563 	
MGI:98725	Tgfb1	transforming growth factor, beta 1	7		negative regulation of T cell proliferation	regulates a function/process that happens in lymph node		IMP	MGI:3719583 	J:123547 	
MGI:98729	Tgfbr2	transforming growth factor, beta receptor II	9		positive regulation of CD4-positive, alpha-beta T cell proliferation			ISO	P37173 	J:164563 	
MGI:2443399	Tmem131l	transmembrane 131 like	3		negative regulation of immature T cell proliferation in thymus			ISO	A2VDJ0 	J:164563 	
MGI:1314883	Tnfrsf1b	tumor necrosis factor receptor superfamily, member 1b	4		regulation of T cell proliferation			IBA	PTN002933906 	J:265628 	
MGI:1314883	Tnfrsf1b	tumor necrosis factor receptor superfamily, member 1b	4		regulation of T cell proliferation	happens in microglial cell,happens in macrophage,regulates a function/process that happens in spleen		IMP		J:240627 	
MGI:104512	Tnfrsf4	tumor necrosis factor receptor superfamily, member 4	4		T cell proliferation			ISO	RGD:3920 	J:155856 	
MGI:1919299	Tnfrsf13c	tumor necrosis factor receptor superfamily, member 13c	15		positive regulation of T cell proliferation			IBA	PTN001073134 	J:265628 	
MGI:1919299	Tnfrsf13c	tumor necrosis factor receptor superfamily, member 13c	15		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:91914 J:92334 	
MGI:1919299	Tnfrsf13c	tumor necrosis factor receptor superfamily, member 13c	15		positive regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:2389403 	J:91914 J:92334 	
MGI:2675303	Tnfrsf14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	4		negative regulation of alpha-beta T cell proliferation			IBA	PTN002929911 	J:265628 	
MGI:2675303	Tnfrsf14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	4		negative regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IDA		J:94873 	
MGI:2151075	Tnfrsf21	tumor necrosis factor receptor superfamily, member 21	17		negative regulation of T cell proliferation			IBA	PTN002930692 	J:265628 	
MGI:2151075	Tnfrsf21	tumor necrosis factor receptor superfamily, member 21	17		negative regulation of T cell proliferation			IMP		J:70594 	
MGI:104511	Tnfsf4	tumor necrosis factor (ligand) superfamily, member 4	1		positive regulation of activated T cell proliferation			ISO	RGD:619816 	J:155856 	
MGI:104511	Tnfsf4	tumor necrosis factor (ligand) superfamily, member 4	1		positive regulation of alpha-beta T cell proliferation			IMP		J:131079 	
MGI:104511	Tnfsf4	tumor necrosis factor (ligand) superfamily, member 4	1		positive regulation of T cell proliferation			IBA	PTN000426255 	J:265628 	
MGI:104511	Tnfsf4	tumor necrosis factor (ligand) superfamily, member 4	1		T cell proliferation			ISO	RGD:619816 	J:155856 	
MGI:1101058	Tnfsf9	tumor necrosis factor (ligand) superfamily, member 9	17		positive regulation of activated T cell proliferation			IBA	PTN000389106 	J:265628 	
MGI:1101058	Tnfsf9	tumor necrosis factor (ligand) superfamily, member 9	17		positive regulation of activated T cell proliferation			ISO	RGD:727974 	J:155856 	
MGI:1344376	Tnfsf13b	tumor necrosis factor (ligand) superfamily, member 13b	8		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:91914 J:92334 	
MGI:2673064	Tnfsf18	tumor necrosis factor (ligand) superfamily, member 18	1	NOT	activated CD4-positive, alpha-beta T cell proliferation			IMP		J:206613 	
MGI:2673064	Tnfsf18	tumor necrosis factor (ligand) superfamily, member 18	1		regulation of T cell proliferation			IBA	PTN000392086 	J:265628 	
MGI:2673064	Tnfsf18	tumor necrosis factor (ligand) superfamily, member 18	1		regulation of T cell proliferation			IDA		J:86980 	
MGI:2673064	Tnfsf18	tumor necrosis factor (ligand) superfamily, member 18	1		T cell proliferation involved in immune response			IBA	PTN000392086 	J:265628 	
MGI:2673064	Tnfsf18	tumor necrosis factor (ligand) superfamily, member 18	1		T cell proliferation involved in immune response			IDA		J:86980 	
MGI:108072	Traf6	TNF receptor-associated factor 6	2		positive regulation of T cell proliferation			IMP		J:77453 	
MGI:98834	Trp53	transformation related protein 53	11		T cell proliferation involved in immune response			IGI	MGI:98159 	J:103921 	
MGI:2137520	Twsg1	twisted gastrulation BMP signaling modulator 1	17		negative regulation of CD4-positive, alpha-beta T cell proliferation			ISO	Q9GZX9 	J:164563 	
MGI:98926	Vcam1	vascular cell adhesion molecule 1	3		positive regulation of T cell proliferation			ISO	P19320 	J:164563 	
MGI:2679720	Vsig4	V-set and immunoglobulin domain containing 4	X		negative regulation of T cell proliferation			IBA	PTN001810319 	J:265628 	
MGI:2679720	Vsig4	V-set and immunoglobulin domain containing 4	X		negative regulation of T cell proliferation			IDA		J:114496 	
MGI:1921298	Vsir	V-set immunoregulatory receptor	10		negative regulation of CD4-positive, alpha-beta T cell proliferation			IDA		J:176836 	
MGI:1921298	Vsir	V-set immunoregulatory receptor	10		negative regulation of CD4-positive, alpha-beta T cell proliferation			ISO	Q9H7M9 	J:164563 	
MGI:1921298	Vsir	V-set immunoregulatory receptor	10		negative regulation of CD8-positive, alpha-beta T cell proliferation			ISO	Q9H7M9 	J:164563 	
MGI:3039619	Vtcn1	V-set domain containing T cell activation inhibitor 1	3		negative regulation of T cell proliferation			ISO	Q7Z7D3 	J:164563 	
MGI:3039619	Vtcn1	V-set domain containing T cell activation inhibitor 1	3		positive regulation of T cell proliferation			IMP		J:132222 	
MGI:1916017	Washc1	WASH complex subunit 1	17		T cell proliferation			IMP		J:217269 	
MGI:98957	Wnt4	wingless-type MMTV integration site family, member 4	4		immature T cell proliferation in thymus	happens in thymus		IMP	MGI:1857453 	J:137842 	
MGI:104593	Xcl1	chemokine (C motif) ligand 1	1		positive regulation of CD4-positive, alpha-beta T cell proliferation			IDA		J:172916 	
MGI:99613	Zap70	zeta-chain (TCR) associated protein kinase	1		positive regulation of alpha-beta T cell proliferation			IGI	MGI:99515 	J:42818 	
MGI:102755	Zbtb7b	zinc finger and BTB domain containing 7B	3		negative regulation of NK T cell proliferation			IMP		J:190672 	
MGI:1891838	Zbtb32	zinc finger and BTB domain containing 32	7		T cell proliferation			IMP	MGI:3527274 	J:95119 	
MGI:3045313	Zc3h12d	zinc finger CCCH type containing 12D	10		negative regulation of T cell proliferation	regulates a function/process that happens in spleen		IMP	MGI:5588370 	J:209383 	
MGI:1917353	Znhit1	zinc finger, HIT domain containing 1	5		regulation of T cell proliferation			IDA		J:150656 	
MGI:99215	Zp3	zona pellucida glycoprotein 3	5		positive regulation of T cell proliferation			IDA		J:169908 	

